肾抗针,DRU
肾囊肿,DIS
肾区,REG
肾上腺皮质功能减退症,DIS
肾性高血压,DIS
肾性贫血,DIS
肾血管,ORG
肾脏,ORG
伴脓性渗出,NBP
生理反射存在,NBP
生理盐水,DRU
失明,DIS
失语症,DIS
湿性罗音,SGN
时达,NBP
时感,FW
实验室检查,DIS
食管,ORG
食欲差,SYM
视杯,ORG
视力,TES
视力减退,SYM
视力下降,SYM
视力骤降,SYM
视盘,ORG
视乳头水肿,DIS
视神经萎缩,DIS
视网膜变性,DIS
视网膜病变,DIS
视网膜脱离,DIS
右眼视物不见,TES
视物变形,SYM
视物不清,SYM
视物模糊,SYM
视物旋转,SYM
视物重影,SYM
室性早搏,DIS
室早,DIS
嗜铬细胞瘤,DIS
收缩压,TES
手,REG
手抖,SYM
手脚,REG
手术,SUR
手术瘢痕,SGN
手术治疗,SUR
手掌,REG
手指,REG
受凉后,SYM
受凉,SYM
输尿管,ORG
输尿管走行区,REG
输血,PRE
术后,PT
术前常规,NBP
术前准备,PRE
数分钟,Dur
数秒,Dur
数年,Dur
摔倒后,CL
摔伤,DIS
双侧,REG
双侧瞳孔,ORG
双肺,ORG
双肺呼吸音清,SGN
双肩,REG
双脚,REG
双上肢,REG
双肾,ORG
双手,REG
双下肢,REG
双下肢疼痛,SYM
双眼,ORG
水,BFL
水平震颤,SGN
水样,SYM
睡眠,NBP
睡眠差,SYM
睡眠呼吸暂停,DIS
睡眠欠佳,SYM
四肢,REG
四肢肌力肌张力均正常,SGN
四肢肌力肌张力正常,SGN
四肢肌张力正常,SGN
速效救心丸,DRU
酸碱度,TES
酸困,SYM
酸中毒,DIS
碎石治疗,PRP
缩小,SGN
锁骨,ORG
碳酸氢盐,TES
糖,NBP
糖化血红蛋白,TES
糖耐量,TES
糖尿病,DIS
糖尿病并末梢神经病变,ORG
糖尿病病史,PT
糖尿病肾病,DIS
糖尿病史,PT
糖尿病性白内障,DIS
糖尿病性视网膜病变,DIS
糖尿康,DRU
糖皮质激素,DRU
糖水,DRU
糖足,NBP
特拉唑嗪,DRU
特拉唑嗪片,DRU
疼痛,SYM
体检,NBP
体力明显下降,SYM
体力下降,SYM
体温,TES
体重,TES
体重减轻,SGN
体重下降,SGN
天麻,DRU
天麻素,DRU
天智颗粒,DRU
调糖,PRP
调脂稳定斑块,PRP
铁剂,DRU
听诊,TES
通便,PRP
血酮体,TES
酮体,TES
酮症,DIS
瞳孔,ORG
痛风,DIS
痛觉减退,SYM
痛温觉,TES
头孢呋辛,DRU
头孢呋辛钠,DRU
头孢哌酮舒巴坦,DRU
头部,REG
头颅CT,TES
头颅MR,TES
头痛,SYM
头晕,SYM
透析,PRE
突发,NBP
突盲,NBP
推拿,PRE
退休工人,PT
吞咽困难,SYM
中药外敷,PRE
外固定术,PRP
外伤后,CL
外阴瘙痒,SYM
微波,PRE
补充维生素,DRU
骶尾部,REG
尾骨骨折,DIS
未,AT
未见,AT
位正,NBP
胃,ORG
胃镜,TES
口疮,DIS
巨大儿引起的梗阻性分娩,DIS
巨头,DIS
巨核细胞性白血病,DIS
巨痣,DIS
巨眼,DIS
巨红细胞性骨髓增殖,DIS
巨细胞动脉炎颞动脉炎,DIS
巨细胞包涵体病,DIS
巨细胞包涵体病毒性肝炎,DIS
巨细胞包涵体病毒携带者,DIS
巨细胞性甲状腺炎,DIS
巨细胞病毒性脑炎脊髓炎或脑脊髓炎,DIS
巨细胞病毒感染的病毒性肝炎伴肝昏迷,DIS
巨细胞肉芽肿,DIS
巨细胞龈瘤,DIS
巨结肠非希尔施普龙氏病后天性,DIS
巨耳,DIS
巨齿,DIS
巩膜异物,DIS
巩膜球筋膜炎,DIS
巩膜穿孔伤,DIS
巩膜结膜炎,DIS
巩膜脉络膜炎,DIS
巩膜葡萄肿前后睫状体,DIS
巩膜角膜炎,DIS
已感觉成为不良歧视和迫害的目标的问题,DIS
巴伦斯普郎氏病黑布腊,DIS
巴多林氏腺囊肿,DIS
巴多林腺,DIS
巴多林腺恶性肿瘤,DIS
巴多林腺良性肿瘤,DIS
巴尔干肾病变,DIS
巴德基亚里二氏综合征,DIS
巴拉克尔西蒙斯病,DIS
巴森科恩茨维格病或综合征,DIS
巴比妥中毒,DIS
巴比妥盐类中毒意图不确定的,DIS
巴泽多病,DIS
巴洛氏病奇德尔病,DIS
巴滕病,DIS
巴蒂杆菌,DIS
巴雷特溃疡,DIS
布伦纳氏瘤,DIS
布坎南幼年型,DIS
布尔纳维氏病,DIS
布拉德利病,DIS
布拉德古德病,DIS
布拉韦杰克逊癫痫,DIS
布斯克肠姜片虫侵染,DIS
布朗塞卡尔氏麻痹综合征脊髓半侧损害,DIS
布朗特骨软骨病,DIS
布朗脂肪瘤,DIS
布氏菌病进行的特殊筛选检查,DIS
布罗卡失语,DIS
布罗迪氏病,DIS
布郎氏鞘综合征,DIS
布里凯障碍,DIS
布里尔津瑟病,DIS
布里索氏幼稚型,DIS
布雷斯福德骨软骨病骨软骨病幼年型,DIS
布鲁格施综合征,DIS
布鲁氏杆菌性关节炎,DIS
布鲁氏杆菌性眼色素膜炎,DIS
布鲁氏杆菌病,DIS
布鲁顿伴有生长激素缺乏无丙种球蛋白血症,DIS
希培耳氏病,DIS
希尔施普龙病,DIS
希斯束硬化,DIS
希斯罗素细菌性痢疾,DIS
帕套氏综合征,DIS
帕帕尼古劳部位异常,DIS
帕森内奇奥尔德雷特纳综合征,DIS
帕里诺眼腺型综合征,DIS
帕里诺结膜炎,DIS
帕里诺综合征,DIS
帕金森病性帕金森综合征痴呆,DIS
帝汶布鲁格丝虫引起的丝虫病,DIS
带状疮疹后坐骨神经痛,DIS
带状疱疹后末稍神经炎,DIS
带状疱疹后肋间神经痛,DIS
带状疱疹并发眼睑皮炎,DIS
带状疱疹并发角膜结膜炎,DIS
带状疱疹性巩膜炎,DIS
带状疱疹性睑炎,DIS
带状疱疹脑炎脊髓炎或脑脊髓炎,DIS
带状疱疹角膜炎,DIS
席汉氏综合征产后垂体机能不全综合征,DIS
帮伙行为观察,DIS
常染色体的三体性和部份三体性,DIS
常染色体缺失,DIS
常染色体退行性瑞士型无丙种球蛋白血症,DIS
幕上的恶性肿瘤,DIS
干性湿性下肢坏疽,DIS
干性皮脂溢,DIS
干性霍乱,DIS
干梅状腹部综合征,DIS
干燥性角膜炎,DIS
干燥性角膜结膜炎,DIS
干燥综合征,DIS
干燥舍格伦综合征伴肾小管间质疾患,DIS
干燥舍格伦综合征性肌病,DIS
干燥舍格伦综合征性肺病变,DIS
干眼性角膜瘢痕,DIS
干眼病,DIS
干酪性鼻炎结核性鼻炎未提及细菌学或组织学的证实,DIS
干酪性鼻窦炎未提及细菌学或组织学的证实,DIS
平足后天性,DIS
并指并趾,DIS
并腿畸形综合征,DIS
幼儿型脊髓性肌肉萎缩,DIS
幼儿腹泻夏季腹泻,DIS
幼年型全身性关节炎,DIS
幼年型全身性类风湿性关节炎,DIS
幼年型关节炎伴全身性发病,DIS
幼年型多关节炎,DIS
幼年型多关节炎血清反应阴性,DIS
幼年型特发性脊柱侧凸,DIS
幼年型皮多肌炎,DIS
幼年型神经梅毒,DIS
幼年型神经节苷脂沉积症,DIS
幼年型糖尿病,DIS
幼年型股骨头骨软骨病,DIS
幼年型脊柱骨软骨炎,DIS
幼年型脊髓痨,DIS
幼年型脊髓痨麻痹性神经梅毒,DIS
幼年性疱疹样皮炎,DIS
幼年期髋臼骨盆软骨炎,DIS
幼年的骨软化,DIS
幼淋巴细胞性白血病,DIS
幼白红细胞性贫血,DIS
幼虫移行性匐行疹,DIS
幽门失弛缓症,DIS
幽门梗阻成人,DIS
广州副圆线虫侵染,DIS
庆大正大霉素药物反应,DIS
库利氏贫血,DIS
库恩特尤尼乌斯变性,DIS
库格尔贝韦兰德,DIS
库欣柯兴氏综合征,DIS
庚型肝炎,DIS
庞普,DIS
庞蒂亚克热,DIS
废用性肌肉萎缩,DIS
废用性骨质疏松伴病理性骨折,DIS
康恩氏病,DIS
康诺尔于立克次体斑疹热,DIS
延髓外侧综合征,DIS
延髓外侧部综合征,DIS
延髓背外侧综合征,DIS
延髓麻痹,DIS
开放性气管断裂,DIS
开放性特塞梅特膜眼球穿入性伤口,DIS
开放性肩和上臂多处开放性伤口,DIS
开放性胸椎骨折伴截瘫,DIS
开放性脐尿管,DIS
开放性腰椎骨折伴脊髓损害截瘫,DIS
开放性颅脑损伤后遗症,DIS
开放性颈椎骨折伴截瘫,DIS
开放性颈部伤口,DIS
开放性鼻伤口,DIS
异丙醇的毒性效应,DIS
异位促肾上腺皮质激素瘤综合征,DIS
异位妊娠后出血,DIS
异位妊娠手术后休克,DIS
异位搏动,DIS
异位牙额外齿,DIS
异位综合征,DIS
异型吸虫病,DIS
异常体重增加,DIS
异常吞咽引起的错合,DIS
异常的先天性三色视,DIS
异常纤维蛋白原血症先天性,DIS
异形红细胞症,DIS
异源嵌合体,DIS
异烟肼自杀,DIS
异物性肉芽肿,DIS
异色性虹膜炎,DIS
弓形体属心肌炎,DIS
弓形体属肌炎,DIS
弓形体属脉络膜视网膜炎,DIS
弓形体属脑炎脊髓炎或脑脊髓炎,DIS
弓形体属脑膜脑炎,DIS
弓形体病肝炎,DIS
弓形病脑炎,DIS
引产后胎物残留,DIS
弗勒赫利希综合征,DIS
弗拉亚尼病,DIS
弗拉托希尔德病,DIS
弗氏志贺菌痢疾,DIS
弗赖伯格病,DIS
弗赖综合征,DIS
弗里德伦德尔芽胞杆菌脑膜炎,DIS
弗里德兰德氏杆菌感染肺炎杆菌,DIS
弗里德赖希合并全身性病,DIS
弗里德赖希小脑硬变,DIS
弗里德赖希氏共济失调,DIS
弗里德赖希脊髓硬变,DIS
弗雷德里克森高脂蛋白症,DIS
弗雷德里克森高脂蛋白血症,DIS
弛缓性偏瘫,DIS
弛缓性四肢瘫痪,DIS
弛缓性截瘫,DIS
弥漫性全身性原发性肌肉萎缩,DIS
弥漫性嗜酸细胞性筋膜炎,DIS
弥漫性浸润型胃硬癌皮革状胃,DIS
弥漫性甲状腺肿,DIS
弥漫性甲状腺肿伴甲状腺机能亢进恶性突眼,DIS
弥漫性纤维性骨炎,DIS
弥漫性肾小球膜性增殖性肾小球肾炎,DIS
弥漫性肾小球膜毛细血管性肾炎,DIS
弥漫性脑损伤,DIS
弥漫性脑脊髓硬化,DIS
弥漫性轴周性脑炎,DIS
弥漫性进行性骨化性肌炎,DIS
弥漫性骨膜炎,DIS
弯刀综合征,DIS
弯曲变形性发育不良骨骼,DIS
弯曲杆菌病作为分类于其他章疾病的原因,DIS
弯曲杆菌肠炎,DIS
弱视先天性,DIS
弹响指,DIS
弹性组织增生,DIS
弹性组织瘤少年期,DIS
强的松中毒,DIS
强直性破伤风,DIS
强直性肌营养不良,DIS
强直性阵挛性癫痫持续状态,DIS
强直性骨肥厚,DIS
强直阵挛性癫痫,DIS
强迫仪式,DIS
强迫型行为疾患,DIS
彭德莱综合征,DIS
影响到颈背区脂膜炎,DIS
影响心血管系统的其他和未特指的制剂中毒,DIS
影响胃肠系统的制剂中毒,DIS
得不到和未完成教育的问题,DIS
循环型躁狂抑郁症,DIS
微椭圆异形细胞性贫血贫血,DIS
微血管型心绞痛,DIS
微血管性溶血性贫血,DIS
德佛扎氏病红苔癣,DIS
德卡姆,DIS
德哈特综合征,DIS
德奎尔万亚急性甲状腺炎,DIS
德奎尔万病,DIS
德热里纳托马斯,DIS
德热里纳索塔斯神经炎,DIS
德维克氏病,DIS
德里溃疡,DIS
心内膜下心肌梗塞综合征,DIS
心内膜心肌病嗜曙红性,DIS
心内膜恶性肿瘤,DIS
心内膜炎伴主动脉瓣闭锁不全,DIS
心内膜纤维弹性组织增生,DIS
心功能级,DIS
心包压塞填塞,DIS
心包恶性间皮瘤,DIS
心包积脓,DIS
心包结核结核性心包炎,DIS
心原性猝死,DIS
心因性夜尿症,DIS
心因性失眠,DIS
心因性尿潴留,DIS
心因性尿频,DIS
心因性幽门痉挛,DIS
心因性斜颈,DIS
心因性消化不良,DIS
心因性痛经,DIS
心因性肠胃胀气,DIS
心因性转换反应震颤,DIS
心因性遗尿症,DIS
心因性阳萎,DIS
心外膜斑,DIS
心室双入口,DIS
心室反向,DIS
心室残留异物,DIS
心室纤维性颤动心室纤颤,DIS
心室间隔缺损综合征,DIS
心导管检查术后,DIS
心导管治疗术后,DIS
心尖部血栓形成,DIS
心律紊乱,DIS
心或肺内分流,DIS
心房功能不全,DIS
心房粘液瘤,DIS
心房纤维性颤动心房纤颤,DIS
心房血拴,DIS
心房间隔缺损,DIS
心源性肝硬变,DIS
心理创伤个人史,DIS
心理幼雅型人格障碍,DIS
心瓣膜炎,DIS
心瓣膜疾患,DIS
心瓣膜穿孔,DIS
心痛风石,DIS
心绞痛综合征,DIS
心绞痛综合症血管运动型,DIS
心耳异构伴多脾,DIS
心耳异构伴无脾,DIS
心肌恶性肿瘤,DIS
心肌梗塞后综合征,DIS
心肌梗塞急性,DIS
心肌梗塞恢复期,DIS
心肌病并发于妊娠分娩和产褥期,DIS
心肌硬化,DIS
心肌结核结核性心肌炎,DIS
心肌继发性恶性肿瘤,DIS
心肌缺血并发于妊娠分娩和产褥期,DIS
心肌衰竭,DIS
心肺移植失败和排斥,DIS
心肾综合征,DIS
心脏乳头肌破裂,DIS
心脏传导阻滞,DIS
心脏传导阻滞引起晕,DIS
心脏停博复苏成功,DIS
心脏动态未定的肿瘤,DIS
心脏和血管假体装置植入物和移植物引起的狭窄,DIS
心脏和血管假体装置植入物和移植物引起的纤维变性,DIS
心脏和血管植入物和移植物,DIS
心脏和血管装置及植入物的机械性并发症,DIS
心脏手术个人史,DIS
心脏损伤伴心包积血,DIS
心脏损伤伴通入胸腔开放性伤口,DIS
心脏术后,DIS
心脏梗塞,DIS
心脏植物神经功能紊乱,DIS
心脏瓣膜假体引起的损坏,DIS
心脏瓣膜假体引起的穿孔,DIS
心脏瓣膜置换术后,DIS
心脏病并发于妊娠分娩和产褥期,DIS
